iter	Logloss
0	0.6852772483
1	0.6771928285
2	0.6694738955
3	0.6617937029
4	0.6544274804
5	0.6477016989
6	0.641492979
7	0.6356148932
8	0.6292333078
9	0.6235805356
10	0.6182276275
11	0.6137214514
12	0.6087780528
13	0.6041383669
14	0.5998614549
15	0.5953676477
16	0.5911781285
17	0.587531649
18	0.5837308275
19	0.5800511664
20	0.5764043827
21	0.5726929334
22	0.5691433934
23	0.5663391862
24	0.5631438746
25	0.5604410704
26	0.5580184406
27	0.5559980683
28	0.5532778227
29	0.5508404525
30	0.5485076848
31	0.5462445999
32	0.5451171831
33	0.5431757264
34	0.5413070862
35	0.5394782141
36	0.5375711709
37	0.5360249346
38	0.5342760988
39	0.5324066896
40	0.5306824111
41	0.5291227285
42	0.5276342454
43	0.5262096794
44	0.5244175412
45	0.5232111039
46	0.5217623715
47	0.5206301196
48	0.5195655531
49	0.5184578548
50	0.517004053
51	0.5159405449
52	0.5147402146
53	0.5139165305
54	0.5129213586
55	0.5117683763
56	0.510689369
57	0.5097538864
58	0.5086382405
59	0.50761426
60	0.506763358
61	0.5059190103
62	0.5051151023
63	0.5042715279
64	0.5035634965
65	0.5027427869
66	0.5019858971
67	0.5010215367
68	0.5001380754
69	0.4997481675
70	0.498818321
71	0.4981110348
72	0.4971669753
73	0.4965948427
74	0.4957536788
75	0.495231846
76	0.4947202037
77	0.4942167543
78	0.4932865419
79	0.4924499613
80	0.4916552466
81	0.4912298699
82	0.4906285049
83	0.4898415512
84	0.4891851575
85	0.4888273525
86	0.4882412732
87	0.4875956972
88	0.4870100746
89	0.4862709279
90	0.4858559939
91	0.485280471
92	0.484705586
93	0.4840376332
94	0.4834721761
95	0.4831343092
96	0.4825678406
97	0.4819832776
98	0.4814938297
99	0.4809666945
100	0.48037271
101	0.4798283231
102	0.4792330864
103	0.4788607222
104	0.4783251282
105	0.4777685099
106	0.4771929204
107	0.4766214227
108	0.476135043
109	0.4757734096
110	0.4756439868
111	0.475198478
112	0.4748345472
113	0.4747553026
114	0.4743180495
115	0.4737358875
116	0.473378452
117	0.4729090959
118	0.4724489708
119	0.471980938
120	0.4715752009
121	0.4711916572
122	0.471177473
123	0.4707990695
124	0.4704280537
125	0.4700610168
126	0.4696601275
127	0.4693367917
128	0.4690623118
129	0.4686521024
130	0.4683049957
131	0.4679721896
132	0.4676209079
133	0.4671349047
134	0.4667694224
135	0.4665725107
136	0.4662121692
137	0.465947243
138	0.4656661364
139	0.4652423461
140	0.4649488465
141	0.4646312519
142	0.4642786758
143	0.4638859622
144	0.4635881064
145	0.4632849905
146	0.4629460318
147	0.4625607344
148	0.4623031432
149	0.4619453284
150	0.4616830874
151	0.4614106419
152	0.461030329
153	0.4606214437
154	0.4603022393
155	0.459942722
156	0.4596533956
157	0.4592752974
158	0.4588599765
159	0.4586405529
160	0.4584026184
161	0.4581455864
162	0.4578207841
163	0.4574928492
164	0.4571622822
165	0.4569331396
166	0.4566034668
167	0.4563491712
168	0.4560181867
169	0.455689833
170	0.4553451021
171	0.4551103049
172	0.4548497192
173	0.4545399507
174	0.4542263786
175	0.4539923373
176	0.4536477751
177	0.4534006726
178	0.4531699598
179	0.4528616553
180	0.4525948012
181	0.4523447933
182	0.4520271097
183	0.4516971464
184	0.4514705365
185	0.4512121393
186	0.4509807064
187	0.4505719132
188	0.4501775649
189	0.4499459127
190	0.4497960761
191	0.4494560316
192	0.4492069284
193	0.4489585071
194	0.448779993
195	0.4485211904
196	0.4483525275
197	0.4481620904
198	0.4478692333
199	0.4477430797
200	0.4474635855
201	0.4472090154
202	0.4470231413
203	0.4467690896
204	0.4465435523
205	0.4462763206
206	0.4461312335
207	0.4459312784
208	0.4456771698
209	0.4454289673
210	0.4451988833
211	0.4450140952
212	0.4446237543
213	0.4443301653
214	0.4441071305
215	0.4439762416
216	0.4436530404
217	0.4433074646
218	0.4430898236
219	0.4429761078
220	0.4427401276
221	0.4424261753
222	0.4422533028
223	0.4418995853
224	0.4416168304
225	0.4413297481
226	0.4411053104
227	0.440939222
228	0.4408176009
229	0.4405580309
230	0.4403543897
231	0.4401285152
232	0.4399198903
233	0.4396560197
